trial,overrides,checkpoint,n_samples,rl_bias_mean_abs,gpd_xi_abs_err,gpd_xi_pred,gpd_xi_obs,gpd_exc_count_ratio,fss_thr89_win5,fss_thr53_win5,rmse_extreme,crps_extreme,crps_mean,rapsd_log_distance,SAL_S,peak_ratio_median,peak_ratio_extreme_median,anisotropy_axis_over_diag,minkowski_distance
clean_control,(none: un-finetuned),clean,2048,nan,nan,nan,-0.1108009307406048,0.1252927400468384,0.0,0.3111880510487539,2.8922955989837646,0.2987319894086354,0.04243022725918546,2.233583450317383,1.059518081422635,0.43561739913776465,0.26750234363940517,1.485428063332682,1.39732875674963
baseline,,latest,2048,nan,nan,nan,-0.1108009307406048,0.16744730679156908,0.21015348288075542,0.43560469379212785,2.8921139240264893,0.2972486689328594,0.04226936734304483,2.1972403526306152,0.9919686788989042,0.45648945308993116,0.2313071992966936,1.4908288435093469,1.326218619942665
lr_3e-6,REWARD_LR=3.0e-6,latest,2048,nan,nan,nan,-0.1108009307406048,0.14285714285714285,0.06417759838546933,0.36677094408028077,2.8955907821655273,0.29872817840285887,0.04234528184888582,2.2065701484680176,1.0040568138517183,0.43854375029498216,0.23156133944617274,1.592450602803787,1.3472244143486023
lr_3e-5,REWARD_LR=3.0e-5,latest,2048,nan,nan,nan,-0.1108009307406048,0.11592505854800937,0.1411214346046391,0.3510046184818222,2.89215087890625,0.29854782383977596,0.04231877664131802,2.120374917984009,0.9781630301035398,0.44552683545101834,0.25508887206331865,1.4124521086397983,1.3320981338620186
M_4,REWARD_ENSEMBLE=4,latest,2048,nan,nan,nan,-0.1108009307406048,0.14168618266978922,0.005623371279659839,0.41124040421883157,2.874206781387329,0.2953965545753069,0.04230743894083318,2.2207303047180176,1.0484816723117878,0.4450799770009837,0.23657547470020707,1.5245126371347255,1.3395960628986359
M_12,REWARD_ENSEMBLE=12,latest,2048,nan,nan,nan,-0.1108009307406048,0.16159250585480095,0.19586637827445308,0.42092150813308415,2.881725788116455,0.2969716342127069,0.04231268104979322,2.096619129180908,1.0355895770788655,0.4627680965276975,0.2634694352263023,1.401110124494658,1.3187851756811142
K_2,REWARD_K=2,latest,2048,nan,nan,nan,-0.1108009307406048,0.16744730679156908,0.05501748722087696,0.40329151885308867,2.889019012451172,0.29689042724803694,0.04220910306965558,2.1026744842529297,0.9617996772258329,0.4548186659812927,0.2848148496297761,1.5140497967032194,1.2819172069430351
w_3e-4,REWARD_WEIGHT=3.0e-4,latest,2048,nan,nan,nan,-0.1108009307406048,0.13114754098360656,0.03344391036490413,0.34430044228013124,2.8883914947509766,0.2978228304320136,0.042452491056847626,2.182995319366455,1.0101056641501494,0.4329167193426739,0.27331464675342343,1.654700237141149,1.3886586129665375
w_3e-3,REWARD_WEIGHT=3.0e-3,latest,2048,nan,nan,nan,-0.1108009307406048,0.16276346604215455,0.057003588111840475,0.3997303269785384,2.903014898300171,0.29635181533812394,0.04193970163886597,1.9611018896102905,0.9722818442560821,0.4877860950223625,0.29341699076476474,1.370628855198201,1.2277374789118767
prox_3,REWARD_PROXIMAL_WEIGHT=3.0,latest,2048,nan,nan,nan,-0.1108009307406048,0.12295081967213115,0.0,0.3389981015371425,2.88268780708313,0.2979725027011641,0.04235280896059136,2.249950885772705,1.0439898703489028,0.4487922451547724,0.2215978365398209,1.553703029098902,1.3616704866290092
spread_0,REWARD_SPREAD_WEIGHT=0.0,latest,2048,nan,nan,nan,-0.1108009307406048,0.11358313817330211,0.08664641394795913,0.2937404727915023,2.894428014755249,0.29782659780495385,0.04227546033640977,2.15260910987854,0.9775159494396918,0.4579473081751231,0.26942360831295253,1.5880988414501862,1.3264648616313934
mode_persample,REWARD_MODE=per_sample,latest,2048,nan,nan,nan,-0.1108009307406048,0.12177985948477751,0.011410717924336011,0.32485260445338004,2.8930110931396484,0.2987460973216524,0.042385124968995866,2.1089069843292236,1.0782869869307001,0.4465341181098714,0.27993155308255147,1.5842665169865384,1.3553156331181526
